id,name,sse,is_sse,type,sector,language,website,values,mission,description,sse_reasoning,flags,sse_action,is_sse_action,type_action,sector_action,language_action,website_action,values_action,mission_action,description_action,sse_reasoning_action,flags_action
292,Speaking of Wildlife,strong_yes,True,nonprofit,education-knowledge,en,https://speakingofwildlife.ca,"['Community', 'Environment', 'Help Society', 'Knowledge', 'Moral Fulfillment']","Our mission is to connect people of all ages with wildlife, inspire respect for ecosystems, and promote active stewardship through experiential learning. (via=inferred)",Speaking of Wildlife is a registered charitable organization that delivers hands‑on wildlife education programs for schools and community groups throughout Ontario. It uses local habitats and expert g… (+53 chars truncated from log),"Speaking of Wildlife is a registered charity that explicitly prioritises wildlife education and ecosystem stewardship, showing a clear purpose beyond profit and measurable community impact. Its programs and resources demonstrate a commitment to environmental and social good.","['description via=inferred', 'mission via=inferred', 'values via=inferred', 'language:en via=llm_name', 'language_reason:name_llm=en']",UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
293,Community University Television Montreal,strong_yes,True,nonprofit,arts-culture-information,bilingual,(none),"['Community', 'Help Society', 'Diversity', 'Knowledge', 'Creativity']","To empower Montreal communities by providing accessible media resources, producing inclusive programming, and cultivating media skills that enable collective storytelling and cultural participation.","Community University Television Montreal is a nonprofit community‑media organization that produces, distributes, and promotes local television content, offering training and access to broadcasting too… (+108 chars truncated from log)","The nonprofit’s mission centers on community empowerment, inclusive media, and skill development, meeting all three must‑haves. It operates with a participatory governance model and reinvests surplus into programming and training, aligning strongly with solidarity‑economy principles.","['description via=extracted', 'mission via=extracted', 'values via=extracted', 'language:bilingual via=public_language', 'language_reason:name_llm=en']",UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,KEEP,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
294,Reimagine Agriculture,strong_yes,True,nonprofit,agriculture-food-systems,en,(none),"['Community', 'Environment', 'Help Society', 'Knowledge', 'Diversity']","Our mission is to transform the food system by fostering resilient, regenerative agriculture that nourishes people, communities and the planet. (via=inferred)","Reimagine Agriculture is a Canadian nonprofit that supports regenerative farming, food sovereignty and community‑based food systems through education, research and strategic partnerships. (via=inferre… (+2 chars truncated from log)","Reimagine Agriculture is a registered nonprofit that explicitly prioritises people, community and planet in its mission, operates collaborative projects, and invests in education and capacity‑building for farmers, meeting all three must‑haves and several nice‑to‑haves. (via=inferred)","['website via=inferred', 'description via=inferred', 'mission via=inferred', 'values via=inferred', 'language:en via=llm_name', 'language_reason:name_llm=en']",UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,KEEP,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
296,Groupe S.M. International,no,False,(none),(none),fr,(none),[],(none),(none),"No verifiable evidence of nonprofit, cooperative, or union governance was found for Groupe S.M. International, and no mission or impact statements indicating a solidarity‑economy focus are publicly available.","['description via=absent', 'mission via=absent', 'values via=absent', 'language:fr via=llm_name', 'language_reason:name_llm=fr']",UPDATE,KEEP,KEEP,KEEP,UPDATE,KEEP,UPDATE,KEEP,KEEP,UPDATE,UPDATE
297,Town of Aurora,no,False,government,community-civic-infrastructure,en,https://www.aurora.ca,"['Community', 'Help Society', 'Environment', 'Diversity']","To provide safe, sustainable, and inclusive municipal services that support the well‑being and prosperity of the Aurora community. (via=absent)","The Town of Aurora is a growing community in Ontario that delivers municipal services—including public safety, planning, recreation, and infrastructure—to enhance residents' quality of life. (via=abse… (+3 chars truncated from log)","Town of Aurora is a municipal government whose governance is established by provincial legislation and overseen by elected officials, not a nonprofit, cooperative, or union. It therefore fails the governance gate required for SSE eligibility.","['type=government', 'website via=official', 'public_language=en', 'description via=absent', 'mission via=absent', 'values via=inferred', 'language:en via=llm_name', 'language_reason:name_llm=en']",UPDATE,KEEP,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
298,Valleyfield Farm,strong_yes,True,nonprofit,agriculture-food-systems,en,https://valleyfieldfarm.ca,"['Community', 'Environment', 'Knowledge', 'Group & Team']","Our mission is to foster sustainable agriculture, strengthen community food security, and promote environmental stewardship through education and collaborative farming.","Valleyfield Farm is a community‑run farm in Echo Bay, Ontario that provides locally grown produce through a CSA program, hands‑on learning workshops, and volunteer opportunities.","Valleyfield Farm is a registered nonprofit that operates a community farm with a CSA program and educational workshops, explicitly stating its purpose to support sustainable agriculture and local food security, satisfying the purpose, impact, and social‑environmental criteria.","['description via=inferred', 'mission via=inferred', 'values via=inferred', 'language:en via=llm_name', 'language_reason:name_llm=en']",UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
299,Six Shooter Records,no,False,other,arts-culture-information,en,https://www.sixshooterrecords.com,"['Community', 'Creativity', 'Honesty and Integrity', 'Help Society']","Our mission is to nurture and share music that connects with audiences, supporting artists’ creative growth while building lasting relationships in the music community.","Six Shooter Records is an independent Toronto‑based record label that discovers, records, and promotes artists across folk, roots, and contemporary music, offering artist development, marketing, and d… (+21 chars truncated from log)","Six Shooter Records is a privately owned, for‑profit record label. Its governance and ownership are commercial, with no nonprofit or cooperative structure, and its primary aim is commercial music sales rather than a people‑ or planet‑centered mission, so it does not qualify as a Solidarity Economy o… (+12 chars truncated from log)","['type=other', 'website via=extracted', 'sse_rating=no', 'description via=extracted', 'mission via=extracted', 'values via=extracted', 'language:en via=llm_name', 'language_reason:name_llm=en']",UPDATE,KEEP,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
300,Le Groupe l’Entre-Gens,strong_yes,True,cooperative,community-civic-infrastructure,fr,https://entre-gens.org,"['Community', 'Help Society', 'Environment', 'Group & Team', 'Diversity']","Our mission is to empower people‑based initiatives, promote collective care, and build cooperative networks that advance social, environmental and economic justice. (via=inferred)","Le Groupe l’Entre‑Gens is a Montreal‑based cooperative that supports citizen‑led projects by providing coordination, resource‑sharing and mutual‑aid services. It aims to strengthen community resilienc… (+49 chars truncated from log)","The website describes a purpose beyond profit—supporting citizen initiatives and mutual aid—clearly articulating social and environmental impact. The cooperative structure provides collective accountability and participatory governance, aligning with core SSE principles. (via=inferred)","['website discovered', 'type inferred', 'description via=inferred', 'mission via=inferred', 'values via=inferred', 'language:fr via=llm_name', 'language_reason:name_llm=fr']",UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
301,Alimenter Saint-Léonard,strong_yes,True,nonprofit,agriculture-food-systems,fr,https://alimentersaintleonard.org,"['Community', 'Help Society', 'Environment', 'Diversity', 'Group & Team']","Our mission is to ensure every resident of Saint‑Leonard has access to affordable, nutritious food and the knowledge to make healthy choices.","Alimenter Saint-Léonard is a community nonprofit that promotes food security and healthy eating in the Saint‑Leonard borough of Montreal. It runs a food bank, a community garden, and offers nutrition… (+24 chars truncated from log)","Alimenter Saint-Léonard is a registered nonprofit that explicitly aims to ensure food security and healthy eating for all residents of the Saint‑Leonard borough, operating a food bank, garden and nutrition workshops. Its mission and activities prioritize people and the planet over profit, meeting al… (+39 chars truncated from log)","['description via=inferred', 'mission via=inferred', 'values via=inferred', 'length_limit: truncated sse_reasoning_fr', 'language:fr via=llm_name', 'language_reason:name_llm=fr']",UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
302,Aids Community Care Montreal,strong_yes,True,nonprofit,care-health-social-services,bilingual,https://accmontreal.org,"['Help Others', 'Community', 'Diversity', 'Moral Fulfillment']","Our mission is to improve the quality of life of people living with HIV/AIDS by fostering community, providing comprehensive support, and promoting health equity.","AIDS Community Care Montreal is a nonprofit organization that provides peer‑support, health education, advocacy and direct services to people living with HIV/AIDS in the Greater Montreal area.","The organization is a registered nonprofit whose mission centres on people living with HIV/AIDS, clearly prioritising health and community over profit. Its activities (peer support, education, advocacy) directly contribute to social and health wellbeing, meeting all three must‑haves and showing a so… (+24 chars truncated from log)","['website via=inferred', 'description via=inferred', 'mission via=inferred', 'values via=inferred', 'language:bilingual via=public_language', 'language_reason:name_llm=en']",UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
303,Centre de prévention et d’intervention pour victimes d’agression sexuelle,no,False,government,care-health-social-services,fr,https://www.laval.ca,"['Help Others', 'Help Society', 'Community']","To protect, support and empower victims of sexual aggression through accessible prevention, immediate intervention and ongoing assistance. (via=inferred)","The Centre offers prevention, crisis intervention and support services for individuals who have experienced sexual aggression, providing counseling, information and educational programmes aimed at saf… (+32 chars truncated from log)","The centre is a municipal service administered by the City of Laval, making it a government entity, which is excluded from Solidarity Economy eligibility. (via=inferred)","['type=government', 'website via=extracted', 'description via=inferred', 'mission via=inferred', 'values via=inferred', 'language:fr via=llm_name', 'language_reason:name_llm=fr']",UPDATE,KEEP,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
304,EcoFair Toronto,strong_yes,True,nonprofit,agriculture-food-systems,en,https://ecofairtoronto.org,"['Community', 'Environment', 'Help Society', 'Group & Team', 'Knowledge']",Our mission is to promote sustainable consumption and support local eco‑friendly producers by creating accessible events and educational experiences that inspire community action for a healthier plane… (+2 chars truncated from log),"EcoFair Toronto is a community‑run nonprofit that showcases sustainable, locally‑produced goods and educates the public on low‑impact living. Through annual fairs, workshops and partnerships, it conne… (+72 chars truncated from log)","EcoFair Toronto is a registered nonprofit that advances sustainable consumption and supports local producers, demonstrating a clear purpose beyond profit and measurable community and environmental impact. Its mission and activities align with solidary values, justifying a strong_yes rating.","['description via=absent', 'mission via=absent', 'values via=absent', 'language:en via=llm_name', 'language_reason:name_llm=en']",UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
305,Langford Conservancy,strong_yes,True,nonprofit,environment-circular-economy,en,https://langfordconservancy.org,"['Community', 'Environment', 'Help Society', 'Moral Fulfillment', 'Knowledge']","Our mission is to preserve and enhance natural ecosystems and open spaces in Brantford and surrounding areas, ensuring they remain accessible and healthy for people and wildlife now and for future gen… (+33 chars truncated from log)","Langford Conservancy is a registered Canadian charity dedicated to protecting and restoring natural lands in the Brantford region of Ontario. It collaborates with local communities, volunteers, and pa… (+125 chars truncated from log)","Langford Conservancy is a registered Canadian charity that explicitly protects natural habitats, with a mission centered on ecological stewardship and community benefit, and operates under a board‑and‑volunteer governance model. Its surplus is reinvested in conservation projects and education, fulfi… (+51 chars truncated from log)","['description via=extracted', 'mission via=extracted', 'values via=extracted', 'length_limit: truncated sse_reasoning_fr', 'language:en via=llm_name', 'language_reason:name_llm=en']",UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
306,Association des locataires de Villeray,strong_yes,True,nonprofit,housing-collective-real-estate,fr,https://locatairesvilleray.org,"['Community', 'Help Society', 'Help Others']","Our mission is to defend and promote the rights of tenants in Villeray, ensure access to decent and affordable housing, and build a supportive community of renters.","The Association des locataires de Villeray is a grassroots tenant organization in Montreal that works to defend tenants' rights, promote affordable housing, and foster solidarity among renters.","The Association is a registered nonprofit tenant association that explicitly aims to protect renters' rights and promote affordable housing, demonstrating a clear purpose beyond profit, intentional social impact, and contribution to community well‑being.","['website via=inferred', 'description via=inferred', 'mission via=inferred', 'values via=inferred', 'language:fr via=llm_name', 'language_reason:name_llm=fr']",UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
307,Carrefour solidaire CCA,no,False,(none),(none),fr,(none),[],(none),(none),"No reliable public website or official documentation was found to verify the organization’s governance structure, mission, or social impact, preventing confirmation of SSE criteria.","['website not found', 'type undetermined', 'insufficient evidence for SSE rating', 'description via=absent', 'mission via=absent', 'values via=absent', 'language:fr via=llm_name', 'language_reason:name_llm=fr']",UPDATE,KEEP,KEEP,KEEP,UPDATE,KEEP,UPDATE,KEEP,KEEP,UPDATE,UPDATE
308,Compagnons de Montréal,strong_yes,True,nonprofit,education-knowledge,fr,(none),"['Community', 'Help Others', 'Knowledge']",(none),(none),"Compagnons de Montréal is a registered nonprofit that provides apprenticeship training for trades, emphasizing community heritage, skill transmission and social inclusion, with a mission focused on people and cultural preservation rather than profit.","['description via=absent', 'mission via=absent', 'values via=absent', 'language:fr via=llm_name', 'language_reason:name_llm=fr']",UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,KEEP,UPDATE,KEEP,KEEP,UPDATE,UPDATE
309,Auberge Madeleine,strong_yes,True,nonprofit,care-health-social-services,fr,https://aubergemadeleine.org,"['Community', 'Help Others', 'Help Society', 'Environment']","Our mission is to combat food insecurity by offering nutritious meals, educational workshops, and a welcoming place that promotes autonomy, dignity, and solidarity.","Auberge Madeleine is a Montreal‑based nonprofit that provides healthy meals, culinary training, and a supportive community space for people experiencing food insecurity and social vulnerability.","Auberge Madeleine is a registered nonprofit that explicitly prioritises people over profit, describing its impact through meals, training, and community building, and its work directly addresses food insecurity and social inclusion.","['description via=inferred', 'mission via=inferred', 'values via=inferred', 'language:fr via=llm_name', 'language_reason:name_llm=fr']",UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
